key,en [English],sw [Swahili],ha [Hausa],yo [Yoruba],fr [French],ar [Arabic]
payment_activities.not_available.description,"Hey there, payment is currently unavailable in your country. We're working hard to bring it to you soon","Halo, malipo hayapatikani katika nchi yako. Tunajitahidi sana kukuletea hivi karibuni",Bamu da tsarin biya a cikin kasarku a yanzu. Muna kokarin mu samar maku dashi nan ba da dadewa ba,,,
payment_activities.not_available.fields.method_of_disbursement.label,How do you receive payment in your country?,Je! Unapokeaje malipo katika nchi yako?,Tawacca hanya ake biyan kudi a kasarku ?,,,
payment_activities.not_withdrawal_acct.title,No Withdrawal Account,Hakuna Akaunti ya Kuondoa,ba Akawun na cirar kudi,,,
payment_activities.not_withdrawal_acct.description,Please we need to know where to send your money to. Please go and set this up,Tafadhali tunahitaji kujua mahali pa kutuma pesa zako. Tafadhali nenda na usanidi hii,Muna bukatar musan gurin da zamu tura kudinku. Aje a saita,,,
payment_activities.not_withdrawal_acct.tag,Go to payment settings,Nenda kwenye mipangilio ya malipo,Aje saitin biya,,,
payment_activities.bnpl_text,BNPL,BNPL,BNPL,,,
payment_activities.feedback_submitted,Feedback Submitted,Maoni yamewasilishwa,An tura amsa,,,
payment_activities.stk_push.confirmation_text,A notification has been sent to your MPESA number **{{mobile}}**. Please check your phone to confirm.,Arifa imetumwa kwa nambari yako ya MPESA **{{mobile}}**. Tafadhali angalia simu yako ili kuthibitisha.,An aika sanarwar zuwa lambar MPESA ɗinka **{{mobile}}**. Da fatan za a duba wayarka don tabbatarwa.,,,
payment_activities.stk_push.notification_sent,Notificaiton sent,Arifa imetumwa,An aika sanarwar,,,
payment_activities.stk_push.fields.amount.label,Amount,Kiasi,Adadin,,,
payment_activities.stk_push.fields.amount.placeholder,Enter amount,Ingiza kiasi,Shigar da adadin,,,
payment_activities.stk_push.fields.amount.errorMessage,Amount is required,Kiasi kinahitajika,Ana buƙatar adadin,,,
payment_activities.stk_push.fields.mobile.label,Phone Number,Nambari ya simu,Lambar tarho,,,
payment_activities.stk_push.fields.mobile.placeholder,Enter your phone number,Ingiza nambari yako ya simu,Shigar da lambar wayarka,,,
payment_activities.stk_push.fields.mobile.errorMessage,Phone Number is required,Nambari ya simu inahitajika,Ana buƙatar Lambar waya,,,
payment_activities.stk_push.amount_minimum_error,Amount must be greater than {{amount}},Kiasi lazima kiwe kikubwa kuliko {{kiasi}},Adadin dole ne ya fi {{amount}},,,
payment_activities.bnpl_drawdown_item,Buy now pay later drawdown of **{{amount}}** to **{{customer}}**,Nunua sasa lipa uchoraji baadaye wa ** {{amount}} ** hadi ** {{customer}} **,Sayi yanzu biya daga gaba ** {{amount}} ** zuwa ** {{customer}} **,,,
payment_activities.bnpl_repayment_item,Buy now pay later repayment of **{{amount}}** from **{{customer}}**,Nunua sasa ulipe ulipaji wa baadaye wa ** {{amount}} ** kutoka kwa ** {{customer}} **,Sayi yanzu biya da aka biya nan gaba na ** {{amount}} ** zuwa ** {{customer}} **,,,
payment_activities.no_decimals,MPESA doesn't allow for decimal payments,MPESA hairuhusu malipo ya desimali,MPESA baya bada izinin biyan kuɗin goma,,,
drawdown.title,Drawdown,Kuchora,Drawdown,,,
drawdown.amount_available,Amount available for drawdown,Kiasi kinapatikana kwa kushuka,Farashin da ake dashi na drawndown,,,
drawdown.amount_owed,Total Owed - {{total_owed}},Jumla ya Owed - {{total_owed}},jimlar bashi  - {{total_owed}},,,
drawdown.take_drawdown,Take Drawdown,Chukua Mchoro,Karbi Drawdown,,,
drawdown.make_repayment,Make Repayment,Ulipa,Biya,,,
drawdown.nothing_here,Nothing to show here,Hakuna cha kuonyesha hapa,Ba abin nunawa anan,,,
drawdown.drawdown_history,Drawdown History,Historia ya Kuchora,Tarihin Drawdown,,,
drawdown.active_drawdowns,Active Drawdowns,Vivutio Vinavyotumika,Drawdown na yanzu,,,
drawdown.take_drawdown_lead_text,Note: All funds will be added to your wallet balance,Kumbuka: Fedha zote zitaongezwa kwenye salio lako la mkoba,Sako: kudin gaba daya za a karasu a balans din walet dinku\,,,
drawdown.repayment,Repayment,Ulipaji,Sake biya,,,
drawdown.make_payment,Make Payment,Fanya Malipo,Biya,,,
drawdown.repayment_date.without_date,Repayment Date,Tarehe ya Ulipaji,Ranar biya,,,
drawdown.repayment_date.with_date,Repayment Date **{{date}}**,Tarehe ya Ulipaji **{{date}}**,Ranar biya **{{date}}**,,,
drawdown.repayment_amount,Repayment amount (includes {{amount}} transaction fee),Kiasi cha ulipaji (inajumuisha ada ya manunuzi ya {{amount}}),Adadin kudin da za a biya (yahada da {{amount}} Ladan cinikayya),,,
drawdown.request,Request,Omba,Nema,,,
drawdown.what_is_drawdown,What is drawdown,Nini ni kushuka,Mene Bashi,,,
drawdown.drawdown_item_text,Drawdown of **{{amount}}** to your wallet on **{{date}}**,Kushuka ya **{{amount}}** kwa yako mkoba kuwasha **{{date}}**,Bashin **{{amount}}** zuwa cikin walet dinku a ranar **{{date}}**,,,
drawdown.transaction_fee,Transaction Fee,Shughuli Ada,Ladan cinikayya,,,
drawdown.withdraw_success,Your withdrawal of **{{amount}}** was successful. Funds have been added to your wallet balance.,Uondoaji wako wa ** {{amount}} ** umefanikiwa. Fedha zimeongezwa kwenye salio lako la mkoba.,Kudin da kuka cire sun fita cikin nasara naira **{{amount}}**. kudi sun karu a wallet dinka,,,
drawdown.withdraw_excess_error,Withdrawal amount is more than your drawdown limit,Kiasi cha uondoaji ni zaidi ya kikomo chako cha kushuka,Adadin Kudin da kukeson cira yawuce iyakar udin da za a iya Aramaku,,,
drawdown.repayment_excess_error,The amount you want to pay is more than your wallet balance,Kiasi unachotaka kulipa ni zaidi ya salio lako la mkoba,kudin dake cikin walet dinka basu kai yawan kudin da kakeson biya ba,,,
drawdown.amount_required_error,Amount is required,Kiasi kinahitajika,Ana buƙatar adadin,,,
drawdown.not_qualified,You do not qualify for drawdowns at the moment.,Haustahiki kushuka kwa wakati huu.,Baku cancanta da wannan damar ba a wannan lokacin,,,
drawdown.repayment_success,Your drawdown repayment of **{{amount}}** was successful. Funds have been deducted from your wallet balance.,Ulipaji wako wa kushuka kwa ** {{amount}} ** ulifanikiwa. Fedha zimekatwa kutoka kwenye salio lako la mkoba.,biyan bashin da kukayi na naira **{{amount}}** yazo cikin nasara. Acire kudi daga walet dinku,,,
drawdown.repayment_item_text,Drawdown repayment of **{{amount}}** from your wallet on **{{date}}**,Ulipaji wa uchoraji wa ** {{amount}} ** kutoka kwa mkoba wako tarehe ** {{date}} **,sake biyan Drawdown na **{{amount}}** daga wallet dinku a ranar **{{date}}**,,,
bnpl.not_available.instruction,Receive and withdraw money using your Shara wallet. Click the button below to get started.,Pokea na toa pesa kwa kutumia mkoba wako wa Shara. Bonyeza kitufe hapa chini ili kuanza.,Karba da cire kudi ta amfani da walat din ka na Shara. Danna maballin da ke ƙasa don farawa.,,,
bnpl.not_available.button_text,Go to money settings,Nenda kwenye mipangilio ya pesa,Jeka saitunan kuɗi,,,
bnpl.day_text.one,{{amount}} day,{{amount}} siku,{{amount}} rana,,,
bnpl.day_text.other,{{amount}} days,{{amount}} siku,{{amount}} kwanaki,,,
bnpl.active_text,Active,Inatumika,Na aiki,,,
bnpl.complete_text,Complete,Kukamilisha,Kammala,,,
bnpl.clients_text,Clients,Wateja,Abokan ciniki,,,
bnpl.new_transaction_text,New transaction,Shughuli mpya,Sabuwar ma'amala,,,
bnpl.total_completed_text,Total completed,Jumla imekamilika,An gama duka,,,
bnpl.amount_used_text,Amount drawn,Kiasi kilichochorwa,Adadin da aka zana,,,
bnpl.amount_available_text,Amount available,Kiasi kinapatikana,Adadin akwai,,,
bnpl.completed_text,Completed,Imekamilika,Kammala,,,
bnpl.payment_left_text.one,{{amount}} payment left,Malipo ya {{amount}} yamebaki,{{amount}} biya ya rage,,,
bnpl.payment_left_text.other,{{amount}} payments left,Malipo {{amount}} yamebaki,{{amount}} biyan kuɗi,,,
bnpl.payment_made_text.one,{{amount}} payment made,{{amount}} malipo yamefanywa,{{amount}} biyan da aka yi,,,
bnpl.payment_made_text.other,{{amount}} payments made,Malipo {{amount}} yamefanywa,{{amount}} biyan kuɗi,,,
bnpl.active_empty_state,You have no active BNPL transactions yet. Click the button below to get started.,Bado huna shughuli zozote za BNPL. Bonyeza kitufe hapa chini ili kuanza.,Ba ku da ma'amalar BNPL mai aiki tukuna. Danna maballin da ke ƙasa don farawa.,,,
bnpl.complete_empty_state,You have no fully completed BNPL transactions yet. Click the button below to get started.,Bado hujamaliza shughuli zote za BNPL. Bonyeza kitufe hapa chini ili kuanza.,Ba ku da cikakkiyar ma'amalar BNPL har yanzu. Danna maballin da ke ƙasa don farawa.,,,
bnpl.repayment_per_week,{{amount}}/week,{{amount}}/wiki,{{amount}}/mako,,,
bnpl.record_transaction.title,Enter transaction,Ingiza shughuli,Shigar da ma'amala,,,
bnpl.record_transaction.fields.note.label,Note,Kumbuka,Lura,,,
bnpl.record_transaction.fields.note.placeholder,E.g what was sold or any other information,K.m kile kilichouzwa au habari nyingine yoyote,E.g abin da aka sayar ko wani bayani,,,
bnpl.record_transaction.fields.total_amount.label,Total Amount,Jumla,Jimla,,,
bnpl.record_transaction.fields.total_amount.errorMessage,Total amount is required,Kiasi cha jumla kinahitajika,Ana buƙatar adadin duka,,,
bnpl.record_transaction.fields.amount_paid.label,Amount Paid,Kiasi Kilicholipwa,Adadin Biyan,,,
bnpl.record_transaction.fields.customer.label,Customer,Mteja,Abokin ciniki,,,
bnpl.record_transaction.fields.customer.placeholder,Select a customer,Chagua mteja,Zaɓi abokin ciniki,,,
bnpl.record_transaction.fields.customer.errorMessage,Customer is required,Mteja anahitajika,Ana buƙatar abokin ciniki,,,
bnpl.record_transaction.balance,Balance,Usawa,Daidaita,,,
bnpl.record_transaction.bnpl_terms_text,Buy now pay later terms,Nunua sasa ulipe masharti ya baadaye,Sayi yanzu biya sharuɗɗa daga baya,,,
bnpl.record_transaction.repayment_date,to be paid in full by {{date}},kulipwa kamili na {{date}},da za a biya su cikakke ta {{date}},,,
bnpl.record_transaction.excess_amount_error,Amount is more than amount available for drawdown,Kiasi ni zaidi ya kiasi kinachopatikana kwa uharibifu,Adadin ya fi adadin da ake samu don zanawa,,,
bnpl.confirmation.instruction,1. Accept the terms of the BNPL offered by Shara to you 2. Confirm that your client has accepted the terms of the BNPL you are offering them powered by Shara.,1. Kubali masharti ya BNPL uliyopewa na Shara kwako 2. Thibitisha kuwa mteja wako amekubali masharti ya BNPL unayowapa inayotumiwa na Shara.,1. Yarda da sharuddan BNPL da Shara ta gabatar muku 2. Tabbatar cewa abokin aikin ka ya karbi sharuɗɗan BNPL da kake bayarwa ta hanyar Shara.,,,
bnpl.confirmation.title,Confirm Buy Now Pay Later,Thibitisha Nunua Sasa Lipa Baadaye,Tabbatar Sayi Yanzu Biya Daga baya,,,
bnpl.confirmation.terms,**Terms**,** Masharti **,** Sharudda **,,,
bnpl.confirmation.client_terms,I confirm that my Client has accepted the terms of the Buy Now Pay Later product I am offering him or her.,Ninathibitisha kuwa Mteja wangu amekubali masharti ya bidhaa ya Nunua Sasa Lipa Baadaye ninayompa.,Na tabbatar cewa Abokin ciniki na ya amince da sharuɗɗan kayan Siyarwa Na Biyar Yanzu Ina ba shi ko ita.,,,
bnpl.confirmation.merchant_terms,I have accepted the [Terms and Conditions](https://docs.google.com/document/d/e/2PACX-1vR-gp6aV3UKaVUo8KVqpNMpITxqZG6AgC1M4_ZPH9DQj4ApsHceJcrrl93KemalVg/pub) for Shara Buy Now Pay Later,Nimekubali [Kanuni na Masharti] (https://docs.google.com/document/d/e/2PACX-1vR-gp6aV3UKaVUo8KVqpNMpITxqZG6AgC1M4_ZPH9DQj4ApsHceJcrrl93KemalVg/pub) ya Shara Buy Now Pay baadaye,Na yarda da [Sharuɗɗa da Sharuɗɗa] (https://docs.google.com/document/d/e/2PACX-1vR-gp6aV3UKaVUo8KVqpNMpITxqZG6AgC1M4_ZPH9DQj4ApsHceJcrrl93KemalVg/pub) don Shara Buy Yanzu,,,
bnpl.success.heading,Buy Now Pay Later Successful,Nunua sasa Lipa Baadaye Umefanikiwa,Sayi Yanzu Biya Biyan Nasara Daga baya,,,
bnpl.success.outstanding,The outstanding amount of {{amount}} has been added to your wallet.,Kiasi kilichobaki cha {{amount}} kimeongezwa kwenye mkoba wako.,An saka fitaccen adadin {{amount}} a cikin walat din ku.,,,
bnpl.success.payment,Client pays {{amount}} over {{days}} days,Mteja hulipa {{amount}} zaidi ya siku {{days}},Abokin ciniki yana biyan {{adadin}} sama da kwanaki {{days}},,,
bnpl.share_receipt,Share Receipt,Shiriki Stakabadhi,Raba Raba,,,
bnpl.receipt.bnpl_text,Buy Now Pay Later (8 weeks),Nunua Sasa Lipa Baadaye (wiki 8),Sayi Yanzu Biya Daga baya (makonni 8),,,
bnpl.buy_now_pay_later,Buy Now Pay Later,Nunua Sasa Lipa Baadaye,Sayi Yanzu Biya Daga baya,,,
bnpl.add_repayment,Add Repayment,Ongeza Ulipaji,Repara Biya,,,
bnpl.transaction_details,Transaction Details,Maelezo ya Muamala,Bayanin ma'amala,,,
bnpl.client.upcoming_text,Upcoming,Inayokuja,Mai zuwa,,,
bnpl.client.paid_text,Paid,Imelipwa,An biya,,,
bnpl.client.wallet_balance,Wallet balance {{amount}},Salio la mkoba {{amount}},Gwajin jaka {{amount}},,,
bnpl.client.add_repayment_note,Note that this amount will be deducted from your wallet balance,Kumbuka kuwa kiasi hiki kitatolewa kutoka kwa salio lako la mkoba,Lura cewa za a cire wannan adadin daga jakar walat din ku,,,
bnpl.client.repayment_to_shara,Repayment to Shara Inc.,Ulipaji kwa Shara Inc.,Biyan kudi ga Shara Inc.,,,
bnpl.client.repayment.fields.amount.label,Amount,Kiasi,Adadin,,,
bnpl.client.repayment.fields.amount.errorMessage,Amount is required,Kiasi kinahitajika,Ana bukatar adadin,,,
bnpl.client.repayment.success.heading,Buy Now Pay Later Payment Successful,Nunua sasa Lipa baadaye Malipo Yamefanikiwa,Sayi Yanzu Biyan Biyan Daga Baya Yayi Nasara,,,
bnpl.client.repayment.success.payment,Payment of {{amount}} confirmed and deducted from your wallet balance,Malipo ya {{amount}} yamethibitishwa na kutolewa kwenye salio lako la mkoba,Biya na {{amount}} an tabbatar kuma an cire daga cikin walat din ku,,,
bnpl.client.repayment.success.outstanding,Outstanding: {{amount}} over {{days}} days,Iliyoangaziwa: {{amount}} zaidi ya siku {{days}},Fitacce: {{amount}} sama da kwanaki {{days}},,,
bnpl.client.repayment.success.repayment_complete,BNPL Transaction Repayment Completed!,Ulipaji wa Ununuzi wa BNPL Umekamilika!,BNPL Transaction Biyan Aka Kammala!,,,
bnpl.client.empty_state,{{client}} has made no repayment yet. Click the button below to record a repayment.,{{mteja}} bado hajalipa. Bonyeza kitufe hapa chini kurekodi ulipaji.,{{abokin ciniki}} bai biya ba tukuna. Danna maɓallin da ke ƙasa don yin rikodin biya.,,,
bnpl.client.paid,Paid,Imelipwa,An biya,,,
bnpl.client.not_paid,Not paid,Haikulipwa,Ba a biya ba,,,
bnpl.client.past_due,Past due,Uliopita,Lokacin da ya wuce,,,
bnpl.transaction_info.date,{{date}},{{tarehe}},{{kwanan wata}},,,
bnpl.transaction_info.total_amount_text,Total Amount,Jumla,Jimla,,,
bnpl.transaction_info.total_amount,{{amount}},{{kiasi}},{{adadin}},,,
bnpl.transaction_info.paid_text,Paid,Imelipwa,An biya,,,
bnpl.transaction_info.paid_amount,{{amount}},{{kiasi}},{{adadin}},,,
bnpl.transaction_info.outstanding_text,Outstanding,Bora,Fitacce,,,
bnpl.transaction_info.outstanding_amount,{{amount}},{{kiasi}},{{adadin}},,,
bnpl.transaction_info.notes,Notes,Vidokezo,Bayanan kula,,,
bnpl.transaction_info.notes_text_content,{{notes}},{{noti}},{{bayanin kula}},,,
bnpl.recent_purchase_message,"Hi {{customer_name}}, thank you for your recent purchase.","Habari {{mteja_ jina}}, asante kwa ununuzi wako wa hivi karibuni","Barka dai {{sunan abokin ciniki}}, na gode da siyan da kuka yi kwanan nan.",,,
bnpl.recent_purchase_message_from_business,"Hi {{customer_name}}, thank you for your recent purchase from {{business_name}}.","Habari {{mteja_jina}}, asante kwa ununuzi wako wa hivi majuzi kutoka {{{jina_la jina}}.","Barka dai {{abokin ciniki_name}}, na gode da siyan kwanan nan daga {{kasuwanci_name}}.",,,
bnpl.you_paid_message,You paid {{amount}}.,Ulilipa {{amount}}.,Kun biya {{adadin}}.,,,
bnpl.you_owe_message,You owe {{credit_amount}}.,Unadaiwa {{credit_mount}}.,Ana binka {{credit_amount}},,,
bnpl.next_repayment,Your next repayment is {{amount}} and it is due on {{date}}.,Ulipaji wako unaofuata ni {{kiasi}} na unastahili kulipwa tarehe {{date}}.,Biyan ku na gaba shine {{adadin}} kuma ya dace a kan {{date}},,,
bnpl.first_repayment,Your first repayment is {{amount}} and it is due on {{date}}.,Ulipaji wako wa kwanza ni {{kiasi}} na unastahili kulipwa tarehe {{date}}.,Biyan ku na farko shine {{adadin}} kuma ya dace a ranar {{date}}.,,,
copied,Copied,Imenakiliwa,An kwafa,,,
submit,Submit,Wasilisha,Tura,,,
